survey_id,site_code,survey_date,time_start,time_end,observer,code,common_name,distance,bird_count,observation_notes,seen,heard,direction,qccomment
126,Y-19,2000-08-18,08:25:00,08:40:00,BeRa,INDO,Inca Dove,10-20,2,,False,True,W,
126,Y-19,2000-08-18,08:25:00,08:40:00,BeRa,ROPI,Rock Pigeon,FT,1,,True,False,SE,
120,AD-21,2000-08-18,06:05:00,06:20:00,BeRa,GTGR,Great-tailed Grackle,FT,4,,True,False,E,
120,AD-21,2000-08-18,06:05:00,06:20:00,BeRa,MODO,Mourning Dove,FT,1,,True,False,NE,
120,AD-21,2000-08-18,06:05:00,06:20:00,BeRa,HOSP,House Sparrow,20-40,7,,True,True,NW,
120,AD-21,2000-08-18,06:05:00,06:20:00,BeRa,GTGR,Great-tailed Grackle,FT,1,,True,False,N,
120,AD-21,2000-08-18,06:05:00,06:20:00,BeRa,RWBL,Red-winged Blackbird,FT,9,,True,False,N,
125,AB-19,2000-08-18,09:05:00,09:20:00,BeRa,HOSP,House Sparrow,FT,2,,True,True,NE,
125,AB-19,2000-08-18,09:05:00,09:20:00,BeRa,MODO,Mourning Dove,FT,2,,True,False,E,
125,AB-19,2000-08-18,09:05:00,09:20:00,BeRa,INDO,Inca Dove,10-20,2,,True,False,SE,
125,AB-19,2000-08-18,09:05:00,09:20:00,BeRa,HOSP,House Sparrow,10-20,1,,True,False,N,
125,AB-19,2000-08-18,09:05:00,09:20:00,BeRa,MODO,Mourning Dove,FT,2,,True,False,N,
125,AB-19,2000-08-18,09:05:00,09:20:00,BeRa,MODO,Mourning Dove,FT,1,,True,False,NE,
125,AB-19,2000-08-18,09:05:00,09:20:00,BeRa,MODO,Mourning Dove,20-40,1,,True,False,S,
125,AB-19,2000-08-18,09:05:00,09:20:00,BeRa,GTGR,Great-tailed Grackle,FT,1,,True,True,SE,
125,AB-19,2000-08-18,09:05:00,09:20:00,BeRa,HOSP,House Sparrow,FT,2,,True,False,NW,
125,AB-19,2000-08-18,09:05:00,09:20:00,BeRa,HOSP,House Sparrow,10-20,2,,True,True,SE,
125,AB-19,2000-08-18,09:05:00,09:20:00,BeRa,VERD,Verdin,0-5,1,,True,True,SW,
125,AB-19,2000-08-18,09:05:00,09:20:00,BeRa,HOFI,House Finch,FT,2,,True,True,NE,
125,AB-19,2000-08-18,09:05:00,09:20:00,BeRa,GTGR,Great-tailed Grackle,FT,2,,True,True,E,
125,AB-19,2000-08-18,09:05:00,09:20:00,BeRa,GIWO,Gila Woodpecker,20-40,1,,True,False,NW,
125,AB-19,2000-08-18,09:05:00,09:20:00,BeRa,MODO,Mourning Dove,40+,1,,True,False,N,
125,AB-19,2000-08-18,09:05:00,09:20:00,BeRa,HOSP,House Sparrow,FT,2,,True,False,S,
125,AB-19,2000-08-18,09:05:00,09:20:00,BeRa,INDO,Inca Dove,FT,2,,True,False,SE,
120,AD-21,2000-08-18,06:05:00,06:20:00,BeRa,RWBL,Red-winged Blackbird,FT,11,,True,False,E,
125,AB-19,2000-08-18,09:05:00,09:20:00,BeRa,MODO,Mourning Dove,FT,2,,True,False,NW,
126,Y-19,2000-08-18,08:25:00,08:40:00,BeRa,MODO,Mourning Dove,FT,1,,True,False,E,
126,Y-19,2000-08-18,08:25:00,08:40:00,BeRa,MODO,Mourning Dove,FT,2,,True,False,SE,
126,Y-19,2000-08-18,08:25:00,08:40:00,BeRa,EUST,European Starling,FT,1,,True,False,E,
126,Y-19,2000-08-18,08:25:00,08:40:00,BeRa,GTGR,Great-tailed Grackle,10-20,2,,False,True,E,
126,Y-19,2000-08-18,08:25:00,08:40:00,BeRa,MODO,Mourning Dove,FT,1,,True,False,SW,
120,AD-21,2000-08-18,06:05:00,06:20:00,BeRa,HOSP,House Sparrow,FT,6,,True,True,N,
120,AD-21,2000-08-18,06:05:00,06:20:00,BeRa,MODO,Mourning Dove,FT,4,,True,False,NW,
120,AD-21,2000-08-18,06:05:00,06:20:00,BeRa,MODO,Mourning Dove,40+,3,,True,False,E,
120,AD-21,2000-08-18,06:05:00,06:20:00,BeRa,MODO,Mourning Dove,FT,1,,True,False,E,
124,AA-20,2000-08-18,06:50:00,07:05:00,BeRa,INDO,Inca Dove,5-10,2,,True,False,E,
120,AD-21,2000-08-18,06:05:00,06:20:00,BeRa,HOFI,House Finch,FT,2,,True,False,E,
